BioSample	Environmental_Category
SAMD00438850	Wastewater/Contaminated
SAMD00438849	Wastewater/Contaminated
SAMD00438848	Wastewater/Contaminated
SAMD00438847	Wastewater/Contaminated
SAMD00438846	Wastewater/Contaminated
SAMD00438845	Wastewater/Contaminated
SAMD00438844	Wastewater/Contaminated
SAMD00438843	Wastewater/Contaminated
SAMD00438842	Wastewater/Contaminated
SAMD00438841	Wastewater/Contaminated
SAMD00438840	Wastewater/Contaminated
SAMD00438839	Wastewater/Contaminated
SAMD00438838	Wastewater/Contaminated
SAMD00438837	Wastewater/Contaminated
SAMD00438836	Wastewater/Contaminated
SAMD00438835	Wastewater/Contaminated
SAMD00648707	Marine Environment
SAMD00648705	Marine Environment
SAMD00648703	Marine Environment
SAMD00648701	Marine Environment
SAMD00648699	Marine Environment
SAMD00648695	Marine Environment
SAMD00648693	Marine Environment
SAMD00648689	Marine Environment
SAMD00648687	Marine Environment
SAMD00648683	Marine Environment
SAMD00648681	Marine Environment
SAMD00648677	Marine Environment
SAMD00648675	Marine Environment
SAMD00648671	Marine Environment
SAMD00648669	Marine Environment
SAMD00648665	Marine Environment
SAMD00648663	Marine Environment
SAMD00648659	Marine Environment
SAMD00648657	Marine Environment
SAMD00648653	Marine Environment
SAMD00648651	Marine Environment
SAMD00648647	Marine Environment
SAMD00648645	Marine Environment
SAMD00648641	Marine Environment
SAMD00648639	Marine Environment
SAMD00648547	Marine Environment
SAMD00648543	Marine Environment
SAMD00648539	Marine Environment
SAMD00648535	Marine Environment
SAMD00648531	Marine Environment
SAMD00648527	Marine Environment
SAMD00648523	Marine Environment
SAMD00648519	Marine Environment
SAMD00648517	Marine Environment
SAMD00648513	Marine Environment
SAMD00648511	Marine Environment
SAMD00648507	Marine Environment
SAMD00648505	Marine Environment
SAMD00648501	Marine Environment
SAMD00648499	Marine Environment
SAMD00648495	Marine Environment
SAMD00648493	Marine Environment
SAMD00648491	Marine Environment
SAMD00648489	Marine Environment
SAMD00648487	Marine Environment
SAMD00648485	Marine Environment
SAMD00648483	Marine Environment
SAMD00648481	Marine Environment
SAMD00648479	Marine Environment
SAMD00648477	Marine Environment
SAMD00648473	Marine Environment
SAMD00648471	Marine Environment
SAMD00648467	Marine Environment
SAMD00648465	Marine Environment
SAMD00648461	Marine Environment
SAMD00648459	Marine Environment
SAMD00648455	Marine Environment
SAMD00648453	Marine Environment
SAMD00648449	Marine Environment
SAMD00648447	Marine Environment
SAMD00648443	Marine Environment
SAMD00648441	Marine Environment
SAMD00648437	Marine Environment
SAMD00648435	Marine Environment
SAMD00648431	Marine Environment
SAMD00648429	Marine Environment
SAMD00648425	Marine Environment
SAMD00648423	Marine Environment
SAMD00648419	Marine Environment
SAMD00648417	Marine Environment
SAMD00648413	Marine Environment
SAMD00648411	Marine Environment
SAMD00648407	Marine Environment
SAMD00648405	Marine Environment
SAMD00611700	Animal-Associated
SAMD00611698	Animal-Associated
SAMD00611696	Animal-Associated
SAMD00611694	Animal-Associated
SAMD00611692	Animal-Associated
SAMD00611690	Animal-Associated
SAMD00622807	Wastewater/Contaminated
SAMD00622805	Wastewater/Contaminated
SAMD00594604	Rhizosphere
SAMD00594603	Rhizosphere
SAMD00594602	Rhizosphere
SAMD00594601	Rhizosphere
SAMD00594600	Soil
SAMD00594599	Soil
SAMD00594598	Soil
SAMD00594597	Soil
SAMD00594596	Rhizosphere
SAMD00594595	Rhizosphere
SAMD00594594	Rhizosphere
SAMD00594593	Rhizosphere
SAMD00594592	Soil
SAMD00594591	Soil
SAMD00594590	Soil
SAMD00594589	Soil
SAMD00594588	Rhizosphere
SAMD00594587	Rhizosphere
SAMD00594586	Rhizosphere
SAMD00594585	Rhizosphere
SAMD00594584	Soil
SAMD00594583	Soil
SAMD00594582	Soil
SAMD00594581	Soil
SAMD00594580	Rhizosphere
SAMD00594579	Rhizosphere
SAMD00594578	Rhizosphere
SAMD00594577	Rhizosphere
SAMD00594576	Soil
SAMD00594575	Soil
SAMD00594574	Soil
SAMD00594573	Soil
SAMD00594572	Rhizosphere
SAMD00594571	Rhizosphere
SAMD00594570	Rhizosphere
SAMD00594569	Rhizosphere
SAMD00594568	Soil
SAMD00594567	Soil
SAMD00594566	Soil
SAMD00594565	Soil
SAMD00594564	Rhizosphere
SAMD00594563	Rhizosphere
SAMD00594562	Rhizosphere
SAMD00594561	Rhizosphere
SAMD00594560	Soil
SAMD00594559	Soil
SAMD00594558	Soil
SAMD00594557	Soil
SAMD00594556	Rhizosphere
SAMD00594555	Rhizosphere
SAMD00594554	Rhizosphere
SAMD00594553	Rhizosphere
SAMD00594552	Soil
SAMD00594551	Soil
SAMD00594550	Soil
SAMD00594549	Soil
SAMD00594548	Rhizosphere
SAMD00594547	Rhizosphere
SAMD00594546	Rhizosphere
SAMD00594545	Rhizosphere
SAMD00594544	Soil
SAMD00594543	Soil
SAMD00594542	Soil
SAMD00594541	Soil
SAMD00594540	Rhizosphere
SAMD00594539	Rhizosphere
SAMD00594538	Rhizosphere
SAMD00594537	Rhizosphere
SAMD00594536	Soil
SAMD00594535	Soil
SAMD00594534	Soil
SAMD00594533	Soil
SAMD00594532	Rhizosphere
SAMD00594531	Rhizosphere
SAMD00594530	Rhizosphere
SAMD00594529	Rhizosphere
SAMD00594528	Soil
SAMD00594527	Soil
SAMD00594526	Soil
SAMD00594525	Soil
SAMD00594524	Rhizosphere
SAMD00594523	Rhizosphere
SAMD00594522	Rhizosphere
SAMD00594521	Rhizosphere
SAMD00594520	Soil
SAMD00594519	Soil
SAMD00594518	Soil
SAMD00594517	Soil
SAMD00594516	Rhizosphere
SAMD00594515	Rhizosphere
SAMD00594514	Rhizosphere
SAMD00594513	Rhizosphere
SAMD00594512	Soil
SAMD00594511	Soil
SAMD00594510	Soil
SAMD00594509	Soil
SAMD00655095	Animal-Associated
SAMD00655094	Animal-Associated
SAMD00655093	Animal-Associated
SAMD00655092	Animal-Associated
SAMD00655091	Animal-Associated
SAMD00655090	Animal-Associated
SAMD00655089	Animal-Associated
SAMD00655088	Animal-Associated
SAMD00655087	Animal-Associated
SAMD00655086	Animal-Associated
SAMD00655085	Animal-Associated
SAMD00655084	Animal-Associated
SAMD00655083	Animal-Associated
SAMD00655082	Animal-Associated
SAMD00655081	Animal-Associated
SAMD00655080	Animal-Associated
SAMD00655079	Animal-Associated
SAMD00655078	Animal-Associated
SAMD00655077	Animal-Associated
SAMD00655076	Animal-Associated
SAMD00655075	Animal-Associated
SAMD00655074	Animal-Associated
SAMD00655073	Animal-Associated
SAMD00655072	Animal-Associated
SAMD00655071	Animal-Associated
SAMD00655070	Animal-Associated
SAMD00655069	Animal-Associated
SAMD00655068	Animal-Associated
SAMD00655067	Animal-Associated
